Well,Sample.Name,Target Name,Amp Score,Amp Status,Task,Cq,Cq Mean,Cq Standard Deviation,Quantity,Quantity Mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Omit,Tm1
E5,30,ACTIN,1.431,Amp,UNKNOWN,18.53,18.572,0.059,107752.96,104933.875,3986.785,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,13,FALSE,78.8602829
F5,30,ACTIN,1.481,Amp,UNKNOWN,18.614,18.572,0.059,102114.8,104933.875,3986.785,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,13,FALSE,79.10996246
E6,31,ACTIN,1.442,Amp,UNKNOWN,18.102,18.491,0.55,141877.36,113972.664,39463.207,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,13,FALSE,78.91021729
F6,31,ACTIN,1.472,Amp,UNKNOWN,18.88,18.491,0.55,86067.96,113972.664,39463.207,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,13,FALSE,79.20983887
E6,32,ACTIN,1.471,Amp,UNKNOWN,15.815,15.807,0.012,616623.3,620100.25,4917.138,36.5667,0.9988,-3.584,90.11565,TRUE,0.15,TRUE,3,11,FALSE,79.09967041
F6,32,ACTIN,1.453,Amp,UNKNOWN,15.798,15.807,0.012,623577.2,620100.25,4917.138,36.5667,0.9988,-3.584,90.11565,TRUE,0.15,TRUE,3,11,FALSE,79.09967041
C4,33,ACTIN,1.315,Amp,UNKNOWN,19.232,17.966,1.79,68666.44,208857.16,198259.61,36.5667,0.9988,-3.584,90.11565,TRUE,0.14,TRUE,3,14,FALSE,78.84886169
D4,33,ACTIN,1.49,Amp,UNKNOWN,16.701,17.966,1.79,349047.88,208857.16,198259.61,36.5667,0.9988,-3.584,90.11565,TRUE,0.14,TRUE,3,12,FALSE,79.29677582
E7,34,ACTIN,1.443,Amp,UNKNOWN,17.162,17.384,0.314,259612.6,227393.56,45564.594,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,12,FALSE,79.16162872
F7,34,ACTIN,1.486,Amp,UNKNOWN,17.606,17.384,0.314,195174.52,227393.56,45564.594,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,12,FALSE,79.36133575
E8,35,ACTIN,1.459,Amp,UNKNOWN,16.58,17.355,1.096,377206.5,258268.78,168203.33,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,11,FALSE,79.06177521
F8,35,ACTIN,1.435,Amp,UNKNOWN,18.13,17.355,1.096,139331.06,258268.78,168203.33,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,12,FALSE,79.26148224
E9,36,ACTIN,1.45,Amp,UNKNOWN,16.809,17.653,1.194,325679.56,217856.11,152485.39,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,11,FALSE,78.91371918
F9,36,ACTIN,1.446,Amp,UNKNOWN,18.498,17.653,1.194,110032.65,217856.11,152485.39,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,13,FALSE,79.11340332
E4,37,ACTIN,1.445,Amp,UNKNOWN,15.435,15.487,0.073,787143.06,761719.9,35953.85,36.5667,0.9988,-3.584,90.11565,TRUE,0.159,TRUE,3,10,FALSE,79.26119232
F4,37,ACTIN,1.44,Amp,UNKNOWN,15.539,15.487,0.073,736296.7,761719.9,35953.85,36.5667,0.9988,-3.584,90.11565,TRUE,0.159,TRUE,3,10,FALSE,79.31110382
E10,38,ACTIN,1.468,Amp,UNKNOWN,16.215,17.3,1.534,476952.25,297632.16,253596.92,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,11,FALSE,79.01355743
F10,38,ACTIN,1.499,Amp,UNKNOWN,18.385,17.3,1.534,118312.06,297632.16,253596.92,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,13,FALSE,79.31308746
E5,39,ACTIN,1.413,Amp,UNKNOWN,15.748,15.746,0.003,643910.06,644791.8,1247.028,36.5667,0.9988,-3.584,90.11565,TRUE,0.159,TRUE,3,10,FALSE,79.16472626
F5,39,ACTIN,1.42,Amp,UNKNOWN,15.744,15.746,0.003,645673.6,644791.8,1247.028,36.5667,0.9988,-3.584,90.11565,TRUE,0.159,TRUE,3,11,FALSE,79.11480713
E6,40,ACTIN,1.432,Amp,UNKNOWN,15.365,15.491,0.178,823487.9,762052.5,86882.77,36.5667,0.9988,-3.584,90.11565,TRUE,0.159,TRUE,3,10,FALSE,79.11480713
F6,40,ACTIN,1.423,Amp,UNKNOWN,15.616,15.491,0.178,700617.1,762052.5,86882.77,36.5667,0.9988,-3.584,90.11565,TRUE,0.159,TRUE,3,11,FALSE,79.11480713
E11,41,ACTIN,1.465,Amp,UNKNOWN,16.407,17.483,1.52,421497.56,263694.06,223167.84,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,11,FALSE,79.15106964
F11,41,ACTIN,1.456,Amp,UNKNOWN,18.558,17.483,1.52,105890.57,263694.06,223167.84,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,13,FALSE,79.30093384
E7,42,ACTIN,1.471,Amp,UNKNOWN,15.976,15.933,0.061,556207.25,572015.9,22356.824,36.5667,0.9988,-3.584,90.11565,TRUE,0.15,TRUE,3,11,FALSE,79.19952393
F7,42,ACTIN,1.463,Amp,UNKNOWN,15.89,15.933,0.061,587824.56,572015.9,22356.824,36.5667,0.9988,-3.584,90.11565,TRUE,0.15,TRUE,3,11,FALSE,79.19952393
E12,43,ACTIN,1.475,Amp,UNKNOWN,16.345,17.059,1.01,438665.12,306973.97,186239.4,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,11,FALSE,79.25097656
F12,43,ACTIN,1.476,Amp,UNKNOWN,17.773,17.059,1.01,175282.83,306973.97,186239.4,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,12,FALSE,79.35088348
